rank,coin_id,symbol,name,market_cap,market_cap_rank,current_price,total_volume,composite_score,pct_dilution,pct_liquidity,pct_momentum_200d,pct_momentum_30d,pct_size_tilt,pct_trend_health,pct_volatility,raw_dilution,raw_liquidity,raw_momentum_200d,raw_momentum_30d,raw_size_tilt,raw_trend_health,raw_volatility
1,venice-token,VVV,Venice Token,1331922147,64,27.77,353838456,70.625,0,0.95,1,0.95,0.875,0.95,0.275,,0.2656600138,5.313,1.228,1331922147,0.9513532032,0.8172782778
2,chainlink,LINK,Chainlink,9129027708,17,12.2,7049869789,64.73214286,0.6071428571,1,0.625,0.725,0.25,0.6,0.55,0.7480999704,0.7722476056,0.247,0.465,9129027708,0.2314990512,0.6374520061
3,lighter,LIT,Lighter,1288011826,67,5.14,128397942,64.16071429,0.03571428571,0.675,0.95,0.975,0.925,0.9,0.1,0.25,0.09968692787,2.45,1.256,1288011826,0.6539440204,1.127542271
4,arbitrum,ARB,Arbitrum,1121520433,71,0.167863,269128969,63.75,0.5,0.925,0.8,0.925,0.95,0.2,0.025,0.6678075931,0.2399679587,0.627,1.099,1121520433,0.07023556485,1.311198549
5,ethena,ENA,Ethena,1659164440,54,0.163903,446050318,62.91071429,0.5357142857,0.975,0.75,0.9,0.75,0.275,0.05,0.6730208333,0.2688403315,0.476,0.824,1659164440,0.1078309211,1.189697981
6,zcash,ZEC,Zcash,21402081133,10,1264.11,1345506923,61.55357143,0.6785714286,0.475,0.975,1,0.125,0.725,0.075,0.8058032073,0.06286804141,3.867,1.503,2.140208113e+10,0.396033121,1.153123736
7,pump-fun,PUMP,Pump.fun,1953153816,49,0.00470893,243020710,60.125,0.25,0.75,0.875,0.875,0.65,0.8,0,0.4148355478,0.1244247678,1.163,0.68,1953153816,0.5339479855,1.380834718
8,aave,AAVE,Aave,1992711789,48,129.06,188626975,58.96428571,0.9642857143,0.65,0.45,0.675,0.625,0.525,0.2,0.9642200146,0.09465843282,0.048,0.42,1992711789,0.1950460185,0.8635370077
9,uniswap,UNI,Uniswap,4195216001,27,6.73,538623106,58.05357143,0.4285714286,0.775,0.85,0.85,0.375,0.425,0.15,0.6232124237,0.1283898388,0.735,0.669,4195216001,0.1498219056,0.9058533431
10,polkadot,DOT,Polkadot,2009927332,47,1.18,433796264,56.71428571,0.7142857143,0.9,0.175,0.75,0.6,0.025,0.575,0.8104529874,0.2158268397,-0.147,0.466,2009927332,0.02146234995,0.6138229519
11,near,NEAR,NEAR Protocol,3403723358,31,2.61,616354475,56.375,0,0.875,0.9,0.8,0.45,0.325,0.4,,0.1810824236,1.355,0.569,3403723358,0.1276908023,0.7494832076
12,bittensor,TAO,Bittensor,2579179221,41,268.51,258077014,54.53571429,0.2857142857,0.7,0.7,0.5375,0.525,0.65,0.45,0.457023381,0.1000616832,0.422,0.306,2579179221,0.3544218585,0.6780249592
13,pepe,PEPE,Pepe,1566210726,57,3.72e-06,236575170,53.625,1,0.825,0.225,0.45,0.825,0.375,0.125,1,0.151049387,-0.14,0.289,1566210726,0.1327149483,0.92731353
14,bitcoin,BTC,Bitcoin,1596012324722,1,79466,3.448713931e+10,53.26785714,0.8928571429,0.225,0.525,0.3,0,0.875,0.925,0.9562780952,0.02160831641,0.162,0.221,1.596012325e+12,0.6302823604,0.3885305983
15,hyperliquid,HYPE,Hyperliquid,19321711262,11,86.88,1078429239,53.25,0,0.4,0.925,0.825,0.15,0.975,0.375,0.2224457141,0.05581437505,1.839,0.584,1.932171126e+10,0.9696428571,0.7572760392
16,whitebit,WBT,WhiteBIT Coin,9672877471,15,82.03,101699161,51.44642857,0.07142857143,0.025,0.825,0.7,0.2,1,0.775,0.2947999175,0.01051384775,0.644,0.46,9672877471,0.9940620456,0.5331730947
17,litecoin,LTC,Litecoin,4203338717,26,54.13,318226071,51.35714286,0.8571428571,0.575,0.35,0.225,0.35,0.35,0.875,0.9236646349,0.07570792944,-0.014,0.197,4203338717,0.1319407205,0.4541379887
18,htx-dao,HTX,HTX DAO,1517571343,58,1.69e-06,27006881,50.44642857,0.8214285714,0.125,0.375,0,0.85,0.75,0.975,0.8982417111,0.01779611952,-0.011,-0.067,1517571343,0.4506666667,0.2264829042
19,mantle,MNT,Mantle,2115356112,45,0.640094,31252643,49.73214286,0.3571428571,0.1,0.4,0.775,0.55,0.575,0.675,0.5309738178,0.01477417576,0.007,0.487,2115356112,0.2238090909,0.5699981983
20,ethereum-classic,ETC,Ethereum Classic,1323193949,65,8.37,120105030,48.76785714,0.6428571429,0.625,0.25,0.425,0.9,0.1,0.5,0.7504464301,0.09076902905,-0.13,0.287,1323193949,0.05009276438,0.6469632907
21,aster-2,ASTER,Aster,2033847252,46,0.751857,134362132,47.76785714,0.1428571429,0.5,0.425,0.35,0.575,0.625,0.85,0.3380088833,0.06606303982,0.033,0.241,2033847252,0.3119738589,0.4543058302
22,cosmos,ATOM,Cosmos Hub,1030677647,74,1.95,123013527,46.75,0,0.725,0.075,0.6375,1,0.075,0.75,,0.1193520858,-0.255,0.384,1030677647,0.04447992701,0.5370371217
23,morpho,MORPHO,Morpho,1615872481,55,2.35,32674664,46.44642857,0.5714285714,0.175,0.725,0.25,0.775,0.825,0.225,0.6888349658,0.02022106595,0.464,0.198,1615872481,0.5635491607,0.8577644531
24,solana,SOL,Solana,61240507118,7,104.43,2849943566,46.125,0,0.375,0.6,0.6,0.075,0.675,0.8,,0.04653690343,0.221,0.358,6.124050712e+10,0.356039685,0.5180176684
25,worldcoin-wld,WLD,Worldcoin,1669901182,53,0.453766,243344472,44.05357143,0.1785714286,0.8,0.5,0.575,0.725,0.05,0.175,0.3678801686,0.1457238755,0.159,0.327,1669901182,0.03865127768,0.9005740039
26,ripple,XRP,XRP,89897576212,5,1.43,2659498154,43.71428571,0.4642857143,0.3,0.325,0.6375,0.05,0.7,0.475,0.6274450485,0.02958364692,-0.016,0.384,8.989757621e+10,0.3917808219,0.6664071919
27,ethereum,ETH,Ethereum,305788851538,2,2505.1,1.22165268e+10,43.5,0,0.35,0.65,0.5375,0.025,0.775,0.65,,0.03995085739,0.267,0.306,3.057888515e+11,0.5064849729,0.5718085096
28,monero,XMR,Monero,9328099426,16,496.09,121533144,43.375,0,0.075,0.775,0.375,0.225,0.85,0.825,,0.01302871447,0.546,0.251,9328099426,0.6218770762,0.5113309769
29,avalanche-2,AVAX,Avalanche,3443477544,30,7.97,251964460,40.01785714,0.3928571429,0.55,0.2,0.325,0.425,0.125,0.725,0.5996832794,0.07317151246,-0.146,0.223,3443477544,0.05498068433,0.5519461049
30,internet-computer,ICP,Internet Computer,1607874643,56,2.89,63439789,40,0,0.325,0.55,0.475,0.8,0,0.625,,0.039455681,0.17,0.294,1607874643,0.004124741312,0.5886755308
31,hedera-hashgraph,HBAR,Hedera,3446503903,29,0.078603,65370147,39.53571429,0.7857142857,0.15,0.1,0.125,0.4,0.4,0.9,0.8766311941,0.01896708921,-0.219,0.146,3446503903,0.1380867805,0.4307958039
32,sui,SUI,Sui,3338920409,32,0.815071,585915389,39.33928571,0.2142857143,0.85,0.15,0.2,0.475,0.45,0.525,0.4096537147,0.1754804899,-0.176,0.174,3338920409,0.1523497196,0.6468165818
33,ondo-finance,ONDO,Ondo,1842443361,51,0.378107,103255898,39.07142857,0.3214285714,0.425,0.675,0.075,0.675,0.5,0.3,0.4869330647,0.05604291572,0.382,0.079,1842443361,0.176685514,0.8139196934
34,polygon-ecosystem-token,POL,POL (ex-MATIC),1052222988,73,0.098233,87993640,38.625,0,0.6,0.275,0.4,0.975,0.25,0.35,,0.08362641855,-0.106,0.269,1052222988,0.0761496124,0.7594195351
35,dogecoin,DOGE,Dogecoin,14188596364,12,0.091037,805717350,35,0,0.45,0.3,0.5,0.175,0.3,0.6,,0.05678626196,-0.098,0.3,1.418859636e+10,0.1244392259,0.5892147912
36,tron,TRX,TRON,32180524459,8,0.338876,330512519,34.375,0,0,0.575,0.025,0.1,0.925,1,,0.0102705759,0.183,0.023,3.218052446e+10,0.7857301849,0.172837079
37,bitcoin-cash,BCH,Bitcoin Cash,5209771432,21,259.38,150093811,33.42857143,0.9285714286,0.275,0,0.275,0.325,0.175,0.325,0.9565098165,0.02881005682,-0.546,0.199,5209771432,0.06851355849,0.7799358333
38,cardano,ADA,Cardano,8292329632,19,0.221045,582923496,33.25,0.75,0.525,0.05,0.1,0.275,0.225,0.425,0.8335662765,0.07029671056,-0.258,0.129,8292329632,0.07153559871,0.7113343036
39,stellar,XLM,Stellar,6580421028,20,0.189045,170185558,32.875,0,0.25,0.475,0.15,0.3,0.55,0.7,,0.02586241173,0.158,0.156,6580421028,0.2159125043,0.5695508469
40,world-liberty-financial,WLFI,World Liberty Financial,1773932810,52,0.055818,21853832,29.73214286,0.1071428571,0.05,0.025,0.05,0.7,0.475,0.95,0.3177711898,0.01231942488,-0.536,0.052,1773932810,0.1684634329,0.3594634067
41,shiba-inu,SHIB,Shiba Inu,3209662366,34,5.45e-06,68957385,18.625,0,0.2,0.125,0.175,0.5,0.15,0.25,,0.02148431116,-0.203,0.159,3209662366,0.0632544104,0.8265875778
